Longitude	Latitude
153.1514	-24.80046496
153.1372176	-24.81707122
153.1632593	-24.81243255
153.1941024	-24.84075286
153.2223413	-24.88152435
153.2395939	-24.91326263
153.2491968	-24.95484792
153.2425236	-24.99325937
153.2260848	-25.02752044
153.205577	-25.0573056
153.1787216	-25.08749765
153.1479598	-25.11419036
153.0383407	-25.1835263
153.0213322	-25.19817474
153.0144149	-25.21152109
153.0144149	-25.22161224
153.0159611	-25.22332122
153.0218205	-25.2234026
153.0454208	-25.23219167
153.054454	-25.23349375
153.0622665	-25.23723724
153.0688583	-25.24846771
153.056163	-25.27320729
153.0685327	-25.32903411
153.0583602	-25.35515716
153.0500594	-25.36638763
153.0348413	-25.39983489
153.0275171	-25.40683359
153.018077	-25.41334401
153.0085555	-25.42164479
153.000743	-25.43401458
152.9941512	-25.49570078
152.9858505	-25.52507903
152.962413	-25.53769297
152.9482528	-25.55217864
152.9462997	-25.58294036
152.9582626	-25.61174896
152.9865015	-25.61956146
152.9842229	-25.64576588
153.0022079	-25.69304778
153.0003161	-25.70042653
153.0905028	-25.70047548
153.085704	-25.6913388
153.0835067	-25.66578542
153.1606551	-25.4631487
153.267426	-25.25554778
153.3454696	-25.08163828
153.3494572	-25.06096771
153.3548283	-25.04534271
153.3657333	-25.02955495
153.3735458	-25.01181406
153.369965	-24.9890276
153.3588973	-24.97600677
153.3212997	-24.94638437
153.3118596	-24.94060638
153.3022567	-24.92945729
153.2849227	-24.87664153
153.2812606	-24.85857513
153.2835895	-24.80038371
153.1514	-24.80046496
