ena_id	sample_id
SAMN43506324	Dingo03
SAMN43506353	Dingo25
SAMN43506327	Dingo06
SAMN43506355	Dingo23
SAMN43506339	Dingo18
SAMN43506325	Dingo04
SAMN43506342	Dingo21
SAMN43506337	Dingo16
SAMN43506323	Dingo02
SAMN43506340	Dingo19
SAMN43506338	Dingo17
SAMN43506341	Dingo20
SAMN43506349	Dingo29
SAMN43506336	Dingo15
SAMN43506346	Dingo32
SAMN43506334	Dingo13
SAMN43506348	Dingo30
SAMN43506350	Dingo28
SAMN43506335	Dingo14
SAMN43506330	Dingo09
SAMN43506347	Dingo31
SAMN43506352	Dingo26
SAMN43506333	Dingo12
SAMN43506328	Dingo07
SAMN43506354	Dingo24
SAMN43506331	Dingo10
SAMN43506326	Dingo05
SAMN43506351	Dingo27
SAMN43506343	Dingo22
SAMN43506329	Dingo08
