,Size
0,10.0
1,10.0
2,10.0
3,10.0
4,14.142135623730951
5,10.0
6,10.0
7,10.0
8,17.32050807568877
9,10.0
10,10.0
11,10.0
12,10.0
13,10.0
14,14.142135623730951
15,10.0
16,10.0
17,14.142135623730951
18,10.0
19,10.0
20,10.0
21,10.0
22,10.0
23,10.0
24,10.0
25,10.0
26,10.0
27,10.0
28,10.0
29,10.0
30,26.457513110645905
31,10.0
32,10.0
33,10.0
34,10.0
35,10.0
36,10.0
37,10.0
38,14.142135623730951
39,37.416573867739416
40,10.0
41,14.142135623730951
42,10.0
43,20.0
44,10.0
45,22.360679774997898
46,10.0
47,10.0
48,17.32050807568877
49,20.0
50,10.0
51,41.23105625617661
52,10.0
53,40.0
54,28.284271247461902
55,10.0
56,14.142135623730951
57,14.142135623730951
58,10.0
59,10.0
60,10.0
61,22.360679774997898
62,24.49489742783178
63,17.32050807568877
64,34.64101615137754
65,10.0
66,30.0
67,14.142135623730951
68,56.568542494923804
69,10.0
70,10.0
71,14.142135623730951
72,20.0
73,14.142135623730951
