target,source,right,pat,wt,dof,chisq,p,f4rank,GermanShepherdDog,Dingo_Ancient_Curracurrang,Dingo_Ancient_Nullarbor,feasible,best,dofdiff,chisqdiff,p_nested,weight_GermanShepherdDog,weight_Dingo_Ancient_Curracurrang,weight_Dingo_Ancient_Nullarbor,se_GermanShepherdDog,se_Dingo_Ancient_Curracurrang,se_Dingo_Ancient_Nullarbor,z_GermanShepherdDog,z_Dingo_Ancient_Curracurrang,z_Dingo_Ancient_Nullarbor,num_sources,num_right,all_above_3,rank,model
Dingo_Alpine_Cooinda,GermanShepherdDog|Dingo_Ancient_Curracurrang,CoyoteCalifornia|Zhokhov9500BP.CGG6|Ireland_Neolithic.Newgrange|Germany_7k|Russia_Baikal_7k|Dingo_Ancient_Nullarbor,0,0,4,7.8580921254232,0.0969169754886517,1,0.147188973977758,0.852811026022242,NA,TRUE,NA,NA,NA,NA,0.147188973977758,0.852811026022242,NA,0.0103473910583364,0.0103473910583363,NA,14.22474256051,82.4179758176993,NA,2,6,TRUE,1,g_n_c
Dingo_Alpine_D01,GermanShepherdDog|Dingo_Ancient_Nullarbor,CoyoteCalifornia|Zhokhov9500BP.CGG6|Ireland_Neolithic.Newgrange|Germany_7k|Russia_Baikal_7k|Dingo_Ancient_Curracurrang,0,0,4,2.28468123134015,0.683559456230531,1,0.150012096027965,NA,0.849987903972035,TRUE,NA,NA,NA,NA,0.150012096027965,NA,0.849987903972035,0.0115519232729655,NA,0.0115519232729655,12.9858978875866,NA,73.5797740244024,2,6,TRUE,1,g_n_c
Dingo_Alpine_D05,GermanShepherdDog|Dingo_Ancient_Curracurrang,CoyoteCalifornia|Zhokhov9500BP.CGG6|Ireland_Neolithic.Newgrange|Germany_7k|Russia_Baikal_7k|Dingo_Ancient_Nullarbor,0,0,4,7.63044068892884,0.106093071386008,1,0.219452072644912,0.780547927355088,NA,TRUE,NA,NA,NA,NA,0.219452072644912,0.780547927355088,NA,0.0113926232086286,0.0113926232086286,NA,19.2626464183159,68.5134505952863,NA,2,6,TRUE,1,g_n_c
Dingo_Alpine_D07,GermanShepherdDog|Dingo_Ancient_Curracurrang,CoyoteCalifornia|Zhokhov9500BP.CGG6|Ireland_Neolithic.Newgrange|Germany_7k|Russia_Baikal_7k|Dingo_Ancient_Nullarbor,0,0,4,6.04421192800412,0.195870740040138,1,0.144652376167646,0.855347623832354,NA,TRUE,NA,NA,NA,NA,0.144652376167646,0.855347623832354,NA,0.0103090695375675,0.0103090695375674,NA,14.0315646955833,82.9704000652404,NA,2,6,TRUE,1,g_n_c
Dingo_Desert_Sandy,GermanShepherdDog|Dingo_Ancient_Nullarbor,CoyoteCalifornia|Zhokhov9500BP.CGG6|Ireland_Neolithic.Newgrange|Germany_7k|Russia_Baikal_7k|Dingo_Ancient_Curracurrang,0,0,4,2.20948272526854,0.697293566460336,1,0.0668060094867123,NA,0.933193990513288,TRUE,NA,NA,NA,NA,0.0668060094867123,NA,0.933193990513288,0.00824485908908435,NA,0.00824485908908431,8.10274727134622,NA,113.184953245445,2,6,TRUE,1,g_n_c
Dingo_FraserIsland_D02,GermanShepherdDog|Dingo_Ancient_Curracurrang,CoyoteCalifornia|Zhokhov9500BP.CGG6|Ireland_Neolithic.Newgrange|Germany_7k|Russia_Baikal_7k|Dingo_Ancient_Nullarbor,0,0,4,7.44467728068091,0.114173679129562,1,0.0134377186866137,0.986562281313386,NA,TRUE,NA,NA,NA,NA,0.0134377186866137,0.986562281313386,NA,0.00670070584514747,0.0067007058451475,NA,2.00541838384758,147.23259073189,NA,2,6,TRUE,1,g_n_c
Dingo_FraserIsland_E56,GermanShepherdDog|Dingo_Ancient_Curracurrang,CoyoteCalifornia|Zhokhov9500BP.CGG6|Ireland_Neolithic.Newgrange|Germany_7k|Russia_Baikal_7k|Dingo_Ancient_Nullarbor,0,0,4,11.353244529753,0.0228681525620462,1,0.00298089666464885,0.997019103335351,NA,TRUE,NA,NA,NA,NA,0.00298089666464885,0.997019103335351,NA,0.00624853444279948,0.00624853444279948,NA,0.477055330643795,159.560471733379,NA,2,6,FALSE,1,g_n_c
Dingo_FraserIsland_Y07,GermanShepherdDog|Dingo_Ancient_Curracurrang,CoyoteCalifornia|Zhokhov9500BP.CGG6|Ireland_Neolithic.Newgrange|Germany_7k|Russia_Baikal_7k|Dingo_Ancient_Nullarbor,0,0,4,7.36746854840954,0.117697375802875,1,0.0102443510498301,0.98975564895017,NA,TRUE,NA,NA,NA,NA,0.0102443510498301,0.98975564895017,NA,0.00623185766771824,0.0062318576677181,NA,1.6438679437268,158.821927862256,NA,2,6,FALSE,1,g_n_c
Dingo_Gibson_Desert_D08,GermanShepherdDog|Dingo_Ancient_Nullarbor,CoyoteCalifornia|Zhokhov9500BP.CGG6|Ireland_Neolithic.Newgrange|Germany_7k|Russia_Baikal_7k|Dingo_Ancient_Curracurrang,0,0,4,9.97846148731544,0.0407920624943096,1,0.0892973710640104,NA,0.91070262893599,TRUE,NA,NA,NA,NA,0.0892973710640104,NA,0.91070262893599,0.00847742537790419,NA,0.0084774253779042,10.5335484635179,NA,107.426793907225,2,6,TRUE,1,g_n_c
Dingo_Kimberley_D09,GermanShepherdDog|Dingo_Ancient_Curracurrang,CoyoteCalifornia|Zhokhov9500BP.CGG6|Ireland_Neolithic.Newgrange|Germany_7k|Russia_Baikal_7k|Dingo_Ancient_Nullarbor,0,0,4,5.40707454687115,0.248019256008985,1,0.00249781614128917,0.997502183858711,NA,TRUE,NA,NA,NA,NA,0.00249781614128917,0.997502183858711,NA,0.00731440771893614,0.00731440771893622,NA,0.341492604359833,136.374976920726,NA,2,6,FALSE,1,g_n_c
Dingo_Northern_Queensland_D04,GermanShepherdDog|Dingo_Ancient_Curracurrang,CoyoteCalifornia|Zhokhov9500BP.CGG6|Ireland_Neolithic.Newgrange|Germany_7k|Russia_Baikal_7k|Dingo_Ancient_Nullarbor,0,0,4,10.577152188361,0.0317506708345619,1,0.0271848708444634,0.972815129155537,NA,TRUE,NA,NA,NA,NA,0.0271848708444634,0.972815129155537,NA,0.00634174393621668,0.00634174393621667,NA,4.28665539288254,153.398676915974,NA,2,6,TRUE,1,g_n_c
Dingo_Northern_Queensland_D10,GermanShepherdDog|Dingo_Ancient_Curracurrang,CoyoteCalifornia|Zhokhov9500BP.CGG6|Ireland_Neolithic.Newgrange|Germany_7k|Russia_Baikal_7k|Dingo_Ancient_Nullarbor,0,0,4,2.82197185999059,0.588045962531392,1,0.0332963915827387,0.966703608417261,NA,TRUE,NA,NA,NA,NA,0.0332963915827387,0.966703608417261,NA,0.00687995574907389,0.0068799557490739,NA,4.83962292740338,140.510149145565,NA,2,6,TRUE,1,g_n_c
Dingo_Northern_Territory_D06,GermanShepherdDog|Dingo_Ancient_Curracurrang,CoyoteCalifornia|Zhokhov9500BP.CGG6|Ireland_Neolithic.Newgrange|Germany_7k|Russia_Baikal_7k|Dingo_Ancient_Nullarbor,0,0,4,2.07978032946008,0.721087925943145,1,0.198817662022967,0.801182337977033,NA,TRUE,NA,NA,NA,NA,0.198817662022967,0.801182337977033,NA,0.0122032248158312,0.0122032248158312,NA,16.2922231642443,65.6533293509157,NA,2,6,TRUE,1,g_n_c
Dingo_Simpson_Desert_D03,GermanShepherdDog|Dingo_Ancient_Curracurrang,CoyoteCalifornia|Zhokhov9500BP.CGG6|Ireland_Neolithic.Newgrange|Germany_7k|Russia_Baikal_7k|Dingo_Ancient_Nullarbor,0,0,4,6.10734514129934,0.191273814672349,1,0.0722670374197198,0.92773296258028,NA,TRUE,NA,NA,NA,NA,0.0722670374197198,0.92773296258028,NA,0.00895150813641129,0.00895150813641139,NA,8.07316893627849,103.63985022888,NA,2,6,TRUE,1,g_n_c
